מזהה_בקשה,מחוז,אזור,סוג_מבנה,שטח_מבוקש_מ2,שטח_חקלאי_דונם,מספר_בעלי_חיים,מרחק_מכביש_מטר,מרחק_ממגורים_מטר,גובה_מבנה_מטר,פנלים_סולאריים,ייעוד_חקלאי,עמידה_בתמא,מכתב_המלצה,סטטוס_אישור,סיבת_ההחלטה
AG-2024-0028,מחוז דרום,נגב,מחסן קירור,348,13,0,86.9,172,7.1,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0029,מחוז תל אביב,נגב,לול,247,85,19246,160.4,468.5,10.6,לא,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0030,מחוז ירושלים,ערבה,בית אריזה תות שדה,418,169,0,68.3,72.6,2.6,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0031,מחוז צפון,שפלה,מחסן חקלאי,114,77,0,6,656.3,1.7,כן,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0032,מחוז צפון,ערבה,כבשייה,252,159,294,14.8,11,8,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0033,מחוז תל אביב,בקעת הירדן,בריכת דגים,301,178,0,83.8,860.1,9.5,לא,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0034,מחוז דרום,חוף הכרמל,בית אריזה,173,170,0,143.8,966.7,9.6,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0035,מחוז מרכז,חוף הכרמל,לול,659,117,91850,16.7,848.3,5,לא,כן,כן,לא,מאושר,""
AG-2024-0036,מחוז ירושלים,חוף הכרמל,מחסן חקלאי,53,193,0,113,660.1,4.7,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0037,מחוז מרכז,נגב,מחסן חקלאי,784,114,0,143.4,283.3,11.4,כן,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0038,מחוז דרום,חוף הכרמל,לול,682,176,31860,51.6,414.1,9.8,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0039,מחוז דרום,חוף הכרמל,בית בד,706,53,0,32.5,625.2,7.6,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0040,מחוז צפון,שפלה,לול,254,27,49671,105,358,6.2,לא,כן,כן,לא,מאושר,""
AG-2024-0041,מחוז דרום,חוף הכרמל,רפת,342,70,112,84.9,558.1,2.6,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0042,מחוז דרום,נגב,בית אריזה פרחים,664,88,0,26.7,478.3,3.5,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0043,מחוז ירושלים,שפלה,בריכת דגים,788,98,0,34.8,633.2,4.1,כן,כן,כן,לא,מאושר,""
AG-2024-0044,מחוז מרכז,עמקים,לול,261,13,17672,48.8,221.8,8.8,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0045,מחוז צפון,חוף הכרמל,חממה,1341,35,0,135.9,867.7,10.1,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0046,מחוז דרום,עמקים,בית אריזה,125,62,0,57.5,87.7,3,כן,כן,כן,לא,מאושר,""
AG-2024-0047,מחוז ירושלים,גליל,כבשייה,711,146,305,74.5,492.4,6.6,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0048,מחוז דרום,בקעת הירדן,בית אריזה,646,94,0,50.1,615.2,7.3,כן,כן,כן,כן,מאושר,""
AG-2024-0049,מחוז צפון,ערבה,בית אריזה תות שדה,710,163,0,42.5,884.7,3.6,כן,כן,כן,כן,מאושר,""
AG-2024-0050,מחוז מרכז,בקעת הירדן,מחסן חקלאי,350,45,0,75.4,50.4,3.3,לא,כן,כן,כן,מאושר,""
AG-2024-0051,מחוז מרכז,גולן,סככת ציוד,58,185,0,13.9,259.6,1.8,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0052,מחוז ירושלים,גולן,לול,231,169,8376,38.5,389.2,5.6,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0053,מחוז תל אביב,עמקים,כבשייה,700,6,291,45.4,592.6,8.8,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0054,מחוז מרכז,שפלה,מחסן חקלאי,569,94,0,132.6,18.1,6.6,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0055,מחוז ירושלים,ערבה,בית אריזה,762,128,0,109.2,379.3,7.7,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0056,מחוז דרום,ערבה,חממה,950,153,0,108.4,97,5.8,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0057,מחוז דרום,בקעת הירדן,בית אריזה תות שדה,658,134,0,52.2,463,5.8,כן,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0058,מחוז תל אביב,בקעת הירדן,חממת קנאביס רפואי,1841,15,0,28.2,794,6.9,כן,כן,כן,כן,מאושר,""
AG-2024-0059,מחוז צפון,שרון,בריכת דגים,532,86,0,65.5,107,1.6,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0060,מחוז תל אביב,גולן,מכון רדייה,275,185,0,93.7,366,3.7,לא,כן,כן,כן,מאושר,""
AG-2024-0061,מחוז ירושלים,גליל,יקב,269,196,0,75.8,318.8,10.2,לא,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0062,מחוז תל אביב,גליל,בית אריזה,577,154,0,150.4,211.6,10.8,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0063,מחוז מרכז,חוף הכרמל,לול,538,11,21771,58.7,673.1,3.1,לא,כן,כן,לא,מאושר,""
AG-2024-0064,מחוז מרכז,גולן,בית אריזה,684,87,0,97.1,668.7,9,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0065,מחוז צפון,נגב,בית אריזה פרחים,152,166,0,41,969.7,6.8,כן,כן,כן,לא,מאושר,""
AG-2024-0066,מחוז חיפה,עמקים,לול,345,122,41589,80.2,383,3,כן,כן,כן,לא,מאושר,""
AG-2024-0067,מחוז חיפה,שפלה,מכון רדייה,460,169,0,18.6,53.9,3.8,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0068,מחוז ירושלים,בקעת הירדן,בית בד,99,140,0,45.1,452.6,4,כן,כן,כן,כן,מאושר,""
AG-2024-0069,מחוז תל אביב,נגב,חממה,1715,89,0,107.9,533.7,10.6,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0070,מחוז צפון,גולן,חממת קנאביס רפואי,1002,122,0,154.6,924.7,2.6,לא,כן,כן,כן,מאושר,""
AG-2024-0071,מחוז צפון,גולן,בית בד,142,172,0,159.5,503.5,5.1,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0072,מחוז מרכז,ערבה,סככת ציוד,457,165,0,159.8,152,10.1,כן,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0073,מחוז דרום,חוף הכרמל,בית אריזה,202,119,0,110.8,562.8,7.9,כן,כן,כן,כן,מאושר,""
AG-2024-0074,מחוז תל אביב,גולן,אורווה,398,53,12,18.7,515.6,10.5,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0075,מחוז תל אביב,ערבה,בית אריזה,482,58,0,19.2,127,8,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0076,מחוז חיפה,עמקים,בית אריזה תות שדה,135,120,0,178.9,833,1.7,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0077,מחוז צפון,שפלה,בית אריזה תות שדה,434,134,0,103.1,836.8,6.4,כן,כן,כן,לא,מאושר,""
AG-2024-0078,מחוז מרכז,שפלה,בריכת דגים,388,70,0,88.9,807.9,10.3,כן,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0079,מחוז תל אביב,בקעת הירדן,בית אריזה תות שדה,436,71,0,154.8,899,8.9,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0080,מחוז צפון,נגב,חממה,2106,35,0,163.6,881.1,7.7,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0081,מחוז ירושלים,נגב,אורווה,457,193,5,114.3,586.4,9.7,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0082,מחוז חיפה,בקעת הירדן,אורווה,328,81,12,193.5,989.7,3.7,כן,כן,כן,לא,מאושר,""
AG-2024-0083,מחוז מרכז,ערבה,בית אריזה תות שדה,139,189,0,137.8,88.5,1.5,לא,כן,כן,לא,מאושר,""
AG-2024-0084,מחוז חיפה,גולן,מחסן חקלאי,327,160,0,28.5,677.8,6.7,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0085,מחוז דרום,ערבה,סככת ציוד,628,175,0,53.8,183.2,7,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0086,מחוז תל אביב,חוף הכרמל,מחסן חקלאי,434,24,0,148.7,622.1,10.8,כן,כן,כן,לא,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0087,מחוז תל אביב,עמקים,בריכת דגים,288,43,0,159.8,241.7,6.2,לא,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0088,מחוז חיפה,עמקים,יקב,691,126,0,134,283.2,4.3,לא,כן,כן,לא,מאושר,""
AG-2024-0089,מחוז דרום,ערבה,רפת,621,137,326,103.6,765.7,5.7,כן,כן,כן,כן,מאושר,""
AG-2024-0090,מחוז דרום,עמקים,מחסן קירור,496,135,0,26.1,315.6,3,כן,כן,כן,לא,מאושר,""
AG-2024-0091,מחוז מרכז,גליל,מחסן קירור,743,41,0,14.7,437.3,6.9,כן,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0092,מחוז דרום,ערבה,מכון רדייה,1058,70,0,24.4,557.8,2.3,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0093,מחוז דרום,ערבה,כבשייה,290,45,215,29.7,277.9,8.2,כן,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0094,מחוז חיפה,נגב,בית אריזה פרחים,62,140,0,24.6,152.2,6,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0095,מחוז צפון,עמקים,מחסן קירור,218,151,0,175.8,790,3.3,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0096,מחוז דרום,עמקים,סככת ציוד,407,142,0,30.9,392.1,9.3,כן,כן,כן,לא,מאושר,""
AG-2024-0097,מחוז ירושלים,שפלה,רפת,569,25,20,74.1,496.9,1.6,לא,כן,כן,לא,מאושר,""
AG-2024-0098,מחוז חיפה,שפלה,מכון רדייה,778,16,0,27.3,806.5,3.2,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0099,מחוז דרום,בקעת הירדן,כבשייה,188,147,153,145.2,809.8,6.8,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0100,מחוז מרכז,בקעת הירדן,אורווה,70,166,11,168.3,771,8.7,לא,כן,כן,לא,מאושר,""
AG-2024-0101,מחוז ירושלים,עמקים,רפת,315,89,319,152.8,954.1,4.5,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0102,מחוז מרכז,ערבה,בריכת דגים,129,94,0,114.3,20.5,5.3,כן,כן,כן,כן,מאושר,""
AG-2024-0103,מחוז דרום,עמקים,בית אריזה,583,79,0,197.8,227.5,7.9,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0104,מחוז דרום,עמקים,בית אריזה,590,106,0,33,930.7,11.4,כן,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0105,מחוז דרום,שרון,כבשייה,94,33,201,23.8,993.9,3.4,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0106,מחוז צפון,ערבה,בית אריזה פרחים,126,45,0,65.5,841.3,2.2,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0107,מחוז צפון,ערבה,אורווה,335,46,12,166.2,698,9.6,לא,כן,כן,כן,מאושר,""
AG-2024-0108,מחוז תל אביב,עמקים,מכון רדייה,140,119,0,6.7,16.2,4.1,לא,כן,כן,לא,דרוש תיקון,"מרחק מכביש נמוך"
AG-2024-0109,מחוז דרום,בקעת הירדן,יקב,124,137,0,55.1,901.5,10.2,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0110,מחוז תל אביב,חוף הכרמל,יקב,799,68,0,189.8,587.5,2.8,לא,כן,כן,כן,מאושר,""
AG-2024-0111,מחוז צפון,נגב,חממה,2129,73,0,71,725.2,6.4,לא,כן,כן,כן,מאושר,""
AG-2024-0112,מחוז תל אביב,גליל,בית אריזה תות שדה,458,147,0,58.9,534.2,11.1,כן,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0113,מחוז חיפה,גולן,סככת ציוד,472,164,0,89.8,973.7,8,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0114,מחוז דרום,נגב,מחסן חקלאי,702,45,0,42.6,483.4,5.9,כן,כן,כן,לא,מאושר,""
AG-2024-0115,מחוז ירושלים,חוף הכרמל,לול,502,127,61934,139,248.5,8.2,לא,כן,כן,כן,דרוש תיקון,"לול - מרחק ממגורים בין 100-300מ"
AG-2024-0116,מחוז צפון,בקעת הירדן,בית אריזה תות שדה,775,75,0,194.7,109.3,5.2,כן,כן,כן,כן,מאושר,""
AG-2024-0117,מחוז חיפה,גליל,רפת,381,66,42,148,247.3,4.3,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0118,מחוז צפון,גולן,חממה,2139,83,0,64.2,403.5,7.7,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0119,מחוז מרכז,עמקים,בית אריזה,499,71,0,46.6,288.1,7.1,כן,כן,כן,כן,מאושר,""
AG-2024-0120,מחוז תל אביב,שרון,בית אריזה תות שדה,64,86,0,159.3,353.3,3.5,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0121,מחוז צפון,בקעת הירדן,חממה,1422,57,0,151.2,199.9,2.6,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0122,מחוז תל אביב,בקעת הירדן,סככת ציוד,369,72,0,64.5,96.8,9.1,כן,כן,כן,לא,מאושר,""
AG-2024-0123,מחוז ירושלים,בקעת הירדן,מכון רדייה,722,71,0,20.3,163.9,2.1,כן,כן,כן,לא,מאושר,""
AG-2024-0124,מחוז דרום,גליל,מחסן חקלאי,99,104,0,87.5,415.5,11.4,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0125,מחוז תל אביב,גליל,בית אריזה,745,185,0,37.6,18.4,4.6,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0126,מחוז מרכז,חוף הכרמל,מחסן חקלאי,629,184,0,47.7,575.3,11.2,לא,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0127,מחוז תל אביב,ערבה,רפת,338,159,181,128.8,589.9,9.5,כן,כן,כן,כן,מאושר,""
AG-2024-0128,מחוז צפון,עמקים,סככת ציוד,47,56,0,32.6,724.4,4.1,כן,כן,כן,לא,מאושר,""
AG-2024-0129,מחוז תל אביב,עמקים,אורווה,193,75,19,21,796.5,4.8,לא,כן,כן,כן,מאושר,""
AG-2024-0130,מחוז תל אביב,גליל,חממה,1859,37,0,149.6,632.7,10.2,לא,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0131,מחוז דרום,נגב,בריכת דגים,160,99,0,12.2,252.1,5.8,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0132,מחוז דרום,ערבה,סככת ציוד,665,32,0,199.1,667.6,9.3,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0133,מחוז מרכז,גליל,מחסן קירור,499,120,0,17.1,888.4,8.2,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0134,מחוז צפון,שרון,מחסן חקלאי,111,108,0,18,364.4,4,לא,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0135,מחוז צפון,נגב,בית אריזה תות שדה,709,122,0,63.7,836.1,8.1,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0136,מחוז תל אביב,ערבה,מכון רדייה,1003,160,0,124.2,113.5,4.7,כן,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0137,מחוז תל אביב,עמקים,בית בד,560,112,0,149.4,410.5,11.4,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0138,מחוז תל אביב,שרון,חממה,343,87,0,171.1,499.3,5.8,לא,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0139,מחוז מרכז,ערבה,סככת ציוד,683,28,0,126.1,168.1,2.4,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0140,מחוז דרום,שרון,בית אריזה פרחים,304,163,0,113.8,927,4.5,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0141,מחוז חיפה,גולן,בית בד,266,49,0,107.6,756.6,9.1,כן,כן,כן,כן,מאושר,""
AG-2024-0142,מחוז צפון,שרון,כבשייה,98,108,323,119,495.8,6.7,כן,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0143,מחוז חיפה,גליל,חממת קנאביס רפואי,1565,34,0,103,549.3,9.3,לא,כן,כן,כן,מאושר,""
AG-2024-0144,מחוז צפון,חוף הכרמל,בית אריזה תות שדה,37,155,0,121.5,404.5,11.2,לא,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0145,מחוז מרכז,עמקים,כבשייה,252,27,97,159.7,884.4,6.1,כן,כן,כן,לא,מאושר,""
AG-2024-0146,מחוז תל אביב,נגב,בית אריזה פרחים,296,153,0,136.9,995,11.2,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0147,מחוז מרכז,נגב,בריכת דגים,657,83,0,13.4,277.3,1.5,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0148,מחוז ירושלים,נגב,כבשייה,248,102,461,119.3,168.8,7,כן,כן,כן,לא,מאושר,""
AG-2024-0149,מחוז תל אביב,נגב,סככת ציוד,374,19,0,51.6,62.4,6.7,לא,כן,כן,כן,מאושר,""
AG-2024-0150,מחוז חיפה,ערבה,אורווה,380,74,24,170,995.9,7.1,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0151,מחוז ירושלים,שרון,בריכת דגים,46,134,0,101.3,109.5,4.6,לא,כן,כן,לא,מאושר,""
AG-2024-0152,מחוז ירושלים,שפלה,בית אריזה תות שדה,518,86,0,178,923.4,1.7,כן,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0153,מחוז מרכז,גליל,יקב,133,114,0,27,879.2,7.9,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0154,מחוז ירושלים,חוף הכרמל,אורווה,413,20,6,152.9,49.5,9,לא,כן,כן,כן,מאושר,""
AG-2024-0155,מחוז מרכז,בקעת הירדן,בית אריזה פרחים,63,186,0,74.4,888.7,11.2,כן,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0156,מחוז ירושלים,עמקים,מכון רדייה,1006,146,0,172.1,353.9,7.3,לא,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0157,מחוז צפון,נגב,בית בד,208,13,0,108.8,984.9,7.2,כן,כן,כן,כן,מאושר,""
AG-2024-0158,מחוז ירושלים,גולן,כבשייה,701,48,61,43,15.3,7.5,כן,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0159,מחוז דרום,חוף הכרמל,רפת,623,40,285,129.6,164.7,2.3,כן,כן,כן,לא,מאושר,""
AG-2024-0160,מחוז דרום,גולן,בריכת דגים,797,74,0,65.2,620.1,5.8,כן,כן,כן,כן,מאושר,""
AG-2024-0161,מחוז תל אביב,נגב,בריכת דגים,621,154,0,161.2,565.4,3.7,לא,לא,לא,כן,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0162,מחוז מרכז,עמקים,כבשייה,50,184,207,127.5,118.5,11.1,כן,כן,כן,כן,דרוש תיקון,"גובה מעל 10מ"
AG-2024-0163,מחוז ירושלים,גליל,סככת ציוד,583,55,0,9,656.2,8.9,כן,כן,כן,לא,דרוש תיקון,"מרחק מכביש נמוך"
AG-2024-0164,מחוז חיפה,שרון,כבשייה,64,192,477,165.6,78.3,10,לא,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0165,מחוז ירושלים,בקעת הירדן,כבשייה,157,27,355,46.7,309.6,7.8,לא,לא,לא,לא,נדחה,"ייעוד לא חקלאי; אי-עמידה בתמא"
AG-2024-0166,מחוז צפון,בקעת הירדן,מחסן חקלאי,282,59,0,14.1,129.7,1.7,לא,כן,כן,כן,מאושר,""
AG-2024-0167,מחוז מרכז,גליל,בית אריזה תות שדה,248,77,0,58.6,245.5,9.2,לא,כן,כן,כן,מאושר,""
AG-2024-0168,מחוז מרכז,בקעת הירדן,חממת קנאביס רפואי,1386,23,0,152.2,788.7,6.8,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0169,מחוז ירושלים,ערבה,חממה,1719,153,0,136.6,764.8,10.5,כן,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0170,מחוז מרכז,בקעת הירדן,יקב,427,53,0,33,404.4,10.1,לא,לא,כן,כן,נדחה,"ייעוד לא חקלאי"
AG-2024-0171,מחוז מרכז,גליל,בית אריזה פרחים,224,177,0,164.2,103.9,9.8,כן,כן,כן,לא,מאושר,""
AG-2024-0172,מחוז צפון,נגב,חממת קנאביס רפואי,1311,177,0,38.8,867.7,8.1,לא,לא,כן,לא,נדחה,"ייעוד לא חקלאי"
AG-2024-0173,מחוז צפון,נגב,כבשייה,558,182,461,26.1,99.5,10.7,כן,כן,לא,כן,נדחה,"אי-עמידה בתמא"
AG-2024-0174,מחוז מרכז,ערבה,בית אריזה תות שדה,354,175,0,63.1,228.2,7.5,לא,כן,כן,כן,מאושר,""
AG-2024-0175,מחוז ירושלים,שרון,מכון רדייה,1089,20,0,160.1,728.4,8.4,לא,כן,לא,לא,נדחה,"אי-עמידה בתמא"
AG-2024-0176,מחוז מרכז,עמקים,מחסן חקלאי,218,87,0,159,433.6,4.5,כן,כן,לא,לא,נדחה,"אי-עמידה בתמא"
